"нужда в картата на А","покрива се в картата на Б"
"Десцендент в Риби","асцендент на партньора в Риби; три или повече планети на партньора в 12-и дом; Слънце на партньора в Риби; Юпитер на партньора в аспект със Слънцето на партньора; Нептун на партньора в аспект със Слънцето на партньора; Юпитер на партньора в един знак със собствения му асцендент; Нептун на партньора в един знак със собствения му асцендент"
"Имум цели в Овен","асцендент на партньора в Овен; три или повече планети на партньора в 1-ви дом; Слънце на партньора в Овен; Марс на партньора в аспект със Слънцето на партньора; Марс на партньора в един знак със собствения му асцендент"
"Имум цели в Телец","асцендент на партньора в Телец; три или повече планети на партньора в 2-ри дом; Слънце на партньора в Телец; Венера на партньора в аспект със Слънцето на партньора; Венера на партньора в един знак със собствения му асцендент"
"Имум цели в Близнаци","асцендент на партньора в Близнаци; три или повече планети на партньора в 3-ти дом; Слънце на партньора в Близнаци; Меркурий на партньора в аспект със Слънцето на партньора; Меркурий на партньора в един знак със собствения му асцендент"
"Имум цели в Рак","асцендент на партньора в Рак; три или повече планети на партньора в 4-ти дом; Слънце на партньора в Рак; Луна на партньора в аспект със Слънцето на партньора; Луна на партньора в един знак със собствения му асцендент"
"Имум цели в Лъв","асцендент на партньора в Лъв; три или повече планети на партньора в 5-и дом; Слънце на партньора в Лъв; Слънце на партньора в един знак със собствения му асцендент"
"Имум цели в Дева","асцендент на партньора в Дева; три или повече планети на партньора в 6-и дом; Слънце на партньора в Дева; Меркурий на партньора в аспект със Слънцето на партньора; Меркурий на партньора в един знак със собствения му асцендент"
"Имум цели в Везни","асцендент на партньора в Везни; три или повече планети на партньора в 7-и дом; Слънце на партньора в Везни; Венера на партньора в аспект със Слънцето на партньора; Венера на партньора в един знак със собствения му асцендент"
"Имум цели в Скорпион","асцендент на партньора в Скорпион; три или повече планети на партньора в 8-и дом; Слънце на партньора в Скорпион; Марс на партньора в аспект със Слънцето на партньора; Плутон на партньора в аспект със Слънцето на партньора; Марс на партньора в един знак със собствения му асцендент; Плутон на партньора в един знак със собствения му асцендент"
"Имум цели в Стрелец","асцендент на партньора в Стрелец; три или повече планети на партньора в 9-и дом; Слънце на партньора в Стрелец; Юпитер на партньора в аспект със Слънцето на партньора; Юпитер на партньора в един знак със собствения му асцендент"
"Имум цели в Козирог","асцендент на партньора в Козирог; три или повече планети на партньора в 10-и дом; Слънце на партньора в Козирог; Сатурн на партньора в аспект със Слънцето на партньора; Сатурн на партньора в един знак със собствения му асцендент"
"Имум цели в Водолей","асцендент на партньора в Водолей; три или повече планети на партньора в 11-и дом; Слънце на партньора в Водолей; Сатурн на партньора в аспект със Слънцето на партньора; Уран на партньора в аспект със Слънцето на партньора; Сатурн на партньора в един знак със собствения му асцендент; Уран на партньора в един знак със собствения му асцендент"
"Имум цели в Риби","асцендент на партньора в Риби; три или повече планети на партньора в 12-и дом; Слънце на партньора в Риби; Юпитер на партньора в аспект със Слънцето на партньора; Нептун на партньора в аспект със Слънцето на партньора; Юпитер на партньора в един знак със собствения му асцендент; Нептун на партньора в един знак със собствения му асцендент"
